Box #,Assay#,Depth,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Assay#,K (%),U (ppm),Th (ppm),DR,Total GR,Average GR,Std,CPS,Comments
,7140,212.8,0.5,1.2,0.7,18.8,20.4,7141,0.6,0.7,1.5,18.4,21.2,7142,0.7,1.1,1,21.3,24,7143,0.6,1.5,0.7,21.1,24.4,22.5,1.997,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9407,213.1,0.6,1.3,0.8,20.4,23.2,9408,0.7,1.1,1.2,22.5,24.8,9409,0.7,1.3,1,22.3,25.6,9410,0.6,1.3,0.7,21,22.8,24.1,1.322,,
,9411,213.4,0.6,1,0.8,17.9,20.8,9412,0.5,1.1,0.8,18.8,20,9413,0.5,1.2,0.2,16.9,18.4,9414,0.6,1,0.6,18.7,20,19.8,1.007,,
,9415,213.7,0.7,1,1.5,21.5,25.2,9416,0.6,1.4,0.6,20.1,23.2,9417,0.6,1.3,0.6,20.7,22.4,9418,0.6,1,0.6,18,20,22.7,2.151,,
,9419,214,0.7,1.1,0.9,21.3,23.6,9420,0.7,1.2,1.9,24.9,28.4,9421,0.5,1.4,0.7,20.4,22,9422,0.7,1.6,0.8,23.1,27.2,25.3,3,,
,9423,214.3,0.6,1,0.7,18.3,20.4,9424,0.7,0.8,0.7,17.9,20.4,9425,0.5,0.9,0.7,16.7,18,9426,0.5,1.5,1.2,22.5,24.8,20.9,2.835,,
,9427,214.6,0.7,1.2,1.2,22.7,25.6,9428,0.6,1.8,0.4,22.1,25.6,9429,0.7,0.7,1,18.4,20.8,9430,0.7,1,1,20.3,23.2,23.8,2.298,,
,9431,214.9,0.5,1.1,1.2,19.5,21.6,9432,0.5,1.2,0.7,18.7,20.4,9433,0.6,0.5,1.2,17.3,18.4,9434,0.5,1.3,0.8,20,21.6,20.5,1.51,,
,9435,215.2,0.7,1.4,0.8,22.2,25.6,9436,0.6,1.6,1,23,26.4,9437,0.7,0.6,0.8,17.7,19.2,9438,0.5,1.3,0.7,19.2,21.2,23.1,3.462,,
,9439,215.5,0.6,1.3,1.2,21.6,24.8,9440,0.7,1.5,1,23.9,27.2,9441,0.7,0.9,1.4,20.8,24,9442,0.6,1.3,0.7,19.4,22.8,24.7,1.858,,
,9443,215.8,0.7,1,1.2,20.9,24,9444,0.6,1.2,1,20.5,23.2,9445,0.6,1.1,1,20.9,22.4,9446,0.6,1.4,0.6,20.3,23.2,23.2,0.653,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7144,216.1,0.6,0.9,1.3,18.7,22,7145,0.4,1.3,1.1,19.2,21.2,7146,0.5,1,0.7,17.3,18.8,7147,0.6,1,1.1,19.5,22,21,1.514,,
